zip_code,devices,households
6335,511,339
6340,4875,3296
6355,1273,986
6378,183,143
6379,503,367
16901,1590,1113
16911,55,38
16912,332,214
16914,47,29
16917,178,118
16921,23,17
16922,210,125
16926,21,11
16930,38,23
16932,33,23
16935,153,100
16939,49,31
16945,26,17
16947,344,219
17019,89,41
17020,1692,1020
17053,505,280
17068,195,110
17069,62,38
17070,240,140
17074,29,20
17090,160,99
17302,11,1
17315,183,113
17319,2524,1493
17339,1014,601
17358,2,1
17365,315,186
17370,830,500
17501,800,570
17507,209,136
17508,357,211
17517,2658,1717
17519,173,110
17521,1,1
17522,5947,3957
17533,55,39
17540,71,45
17543,6765,4400
17545,3167,2035
17549,6,3
17555,141,96
17557,22,16
17564,9,6
17567,168,119
17569,922,587
17578,957,621
17580,33,22
17581,203,143
17878,27,16
17960,707,458
18012,36,24
18030,198,142
18035,69,41
18038,495,329
18053,557,364
18058,1793,1042
18065,14,9
18066,893,560
18067,244,141
18071,3514,2231
18078,34,23
18079,107,76
18080,2722,1721
18086,64,39
18088,2386,1505
18091,5,3
18210,3621,1962
18211,364,228
18212,51,39
18218,649,427
18229,3225,1958
18232,1140,720
18235,5987,3849
18240,1346,827
18244,110,76
18250,944,645
18252,335,206
18301,6248,3195
18302,3318,1592
18320,1575,732
18321,1169,604
18322,1271,686
18323,293,174
18324,5255,2580
18325,761,441
18326,891,506
18327,372,221
18328,3456,1869
18330,3999,1970
18331,455,269
18332,1145,562
18333,1447,814
18334,1720,816
18335,2513,1253
18337,6348,3367
18341,119,81
18342,372,203
18344,1210,610
18346,1158,588
18347,2347,1398
18348,3,3
18349,90,43
18350,1905,1118
18352,1092,552
18353,3062,1677
18354,533,304
18355,600,307
18356,380,214
18357,92,47
18360,7687,4173
18370,417,206
18371,414,180
18372,2118,1060
18405,695,409
18414,90,55
18415,216,137
18417,81,44
18419,73,45
18424,2033,1179
18425,444,260
18426,2199,1298
18428,6095,3316
18431,2173,1335
18435,1278,684
18438,683,390
18443,89,55
18445,571,318
18451,274,159
18457,106,59
18458,1473,892
18460,106,64
18464,818,494
18466,5649,2483
18469,84,49
18473,7,5
18610,597,300
18611,6,1
18612,389,226
18614,139,93
18615,125,76
18618,138,90
18621,440,262
18622,25,12
18623,262,158
18625,170,110
18627,8,7
18628,18,11
18629,139,79
18630,198,125
18632,32,18
18636,210,132
18655,200,130
18656,153,100
18657,1917,1206
18814,25,15
18815,10,7
18832,46,30
18833,74,45
18846,26,15
18853,233,149
19501,442,279
19529,406,265
19540,83,56
19565,790,469
19608,48,34
24093,50,29
24124,907,565
24134,958,606
24136,172,102
24147,261,167
24150,89,63
24712,565,340
24731,121,70
24733,346,217
24736,165,103
24739,237,150
24740,6780,4335
24747,255,153
24827,72,44
24901,2664,1737
24910,505,333
24925,228,144
24931,60,37
24951,90,63
24957,85,56
24963,833,560
24970,102,61
24986,1500,878
25003,385,260
25007,314,168
25008,94,62
25009,377,231
25015,1795,1069
25019,111,72
25022,27,17
25024,235,143
25025,84,42
25035,510,314
25036,244,150
25039,405,248
25040,295,176
25043,9,6
25044,104,73
25045,1072,678
25047,97,55
25048,142,72
25049,231,134
25051,49,34
25053,353,206
25054,182,110
25059,237,147
25060,188,109
25062,135,88
25064,3760,2283
25067,424,244
25071,3422,1999
25075,340,206
25076,157,90
25079,17,13
25083,217,116
25085,269,178
25103,184,108
25106,103,65
25107,246,154
25111,102,71
25115,13,10
25118,289,166
25125,216,135
25130,1194,684
25132,146,91
25136,595,376
25139,274,147
25140,450,258
25142,123,75
25143,2939,1798
25148,157,94
25149,75,45
25154,107,57
25159,322,191
25160,117,74
25161,263,171
25162,257,149
25165,224,132
25169,171,104
25174,226,124
25177,9297,5513
25181,593,356
25183,38,22
25186,365,217
25193,238,137
25202,203,130
25209,555,330
25214,227,152
25247,149,103
25248,12,9
25253,188,131
25260,469,311
25270,19,16
25271,1421,904
25276,1182,801
25287,136,89
25301,1350,910
25302,6468,3861
25303,3198,1843
25304,4115,2315
25306,2847,1713
25309,5054,2927
25311,4093,2480
25312,3601,2364
25313,5389,3100
25314,7956,4192
25315,1265,781
25320,795,597
25387,126,83
25501,287,174
25504,604,378
25508,1887,1057
25510,1653,991
25512,69,45
25514,832,510
25515,351,231
25517,107,71
25521,54,37
25526,7889,4373
25529,318,196
25535,885,542
25541,2233,1358
25545,1270,756
25547,372,210
25550,2548,1649
25560,2771,1529
25564,82,63
25565,123,86
25567,60,53
25569,1,1
25570,1640,1033
25573,48,38
25601,2102,1165
25606,408,215
25607,469,257
25614,122,66
25617,566,315
25624,178,108
25625,760,400
25628,182,115
25630,282,165
25632,20,10
25634,285,166
25635,610,340
25637,175,99
25638,3,1
25639,269,166
25646,291,180
25647,266,160
25649,527,311
25652,727,379
25653,251,138
25654,59,31
25661,2077,1239
25665,79,48
25667,341,197
25669,304,175
25670,994,539
25674,1071,625
25676,746,415
25685,146,82
25691,116,62
25701,450,281
25704,104,56
25770,6,2
25801,12161,7608
25811,76,39
25813,1940,1197
25817,301,185
25818,350,219
25823,922,550
25825,877,545
25827,1516,942
25832,1972,1118
25839,561,339
25840,2321,1476
25841,207,131
25843,366,228
25844,494,296
25865,298,180
25880,1921,1215
25882,24,17
25901,3663,2375
25908,132,78
25909,520,331
25915,140,75
25918,1329,845
25921,847,554
25928,38,27
25932,117,75
25951,1337,881
25958,169,119
25962,838,579
25969,337,216
25971,186,125
25978,81,54
25979,153,95
25981,173,111
25984,460,310
25989,191,120
26055,29,17
26101,10821,6702
26104,7050,4280
26105,5703,3430
26106,1,1
26133,2,1
26134,400,266
26142,888,550
26143,831,547
26146,20,12
26150,1629,1020
26155,2711,1819
26159,1089,732
26160,74,37
26164,1847,1187
26170,1237,794
26175,769,493
26180,217,157
26181,1649,986
26184,332,216
26187,2704,1673
26201,3599,2689
26210,34,23
26218,104,79
26234,31,24
26238,1,1
26241,3258,2536
26253,642,500
26254,8,6
26273,32,26
26276,39,31
26280,214,172
26283,86,68
26293,114,89
26301,176,121
26330,330,247
26347,109,84
26349,11,9
26361,44,33
26366,23,17
26369,96,73
26378,124,90
26385,553,406
26386,232,158
26404,51,36
26408,64,47
26424,32,25
26431,1064,778
26435,11,6
26438,61,45
26451,140,105
26452,21,13
26554,181,132
26568,131,94
26570,10,6
26571,249,178
26572,36,23
26576,107,73
26582,37,22
26591,90,69
26656,178,112
26690,198,125
27534,474,241
27801,3846,2431
27803,4976,3054
27804,7002,4466
27809,381,236
27812,378,265
27817,1513,936
27819,46,28
27822,415,220
27823,332,226
27825,20,14
27834,12805,8326
27837,1081,629
27856,1659,1087
27857,7,5
27858,14512,9487
27861,9,3
27871,457,308
27874,374,273
27878,358,238
27879,42,29
27884,106,55
27886,3669,2462
27889,6208,4058
27892,2594,1695
28501,3916,2715
28504,5266,3272
28513,1537,999
28519,142,94
28523,62,36
28525,51,34
28530,50,30
28551,1579,951
28560,5995,3945
28562,11915,7559
28573,56,32
